group_key,count,total_power_kw,avg_power_kw,min_power_kw,max_power_kw,min_ref_file,min_ref_index,max_ref_file,max_ref_index
Hochtaunuskreis,16084,183629.248,11.416889,0.001,2780.0,EinheitenSolar_33.json,35441,EinheitenWind.json,327
Saarpfalz-Kreis,13741,181531.035,13.210904,0.001,2608.76,EinheitenSolar_41.json,39382,EinheitenSolar_1.json,85743
Odenwaldkreis,8940,180139.767,20.149862,0.001,10826.0,EinheitenSolar_45.json,23908,EinheitenSolar_47.json,79391
Starnberg,13977,179715.468,12.857943,0.003,16218.9,EinheitenStromSpeicher_16.json,55636,EinheitenSolar_23.json,47967
Stuttgart,18449,178183.712,9.658177,0.001,2050.0,EinheitenSolar_42.json,88388,EinheitenWasser.json,5303
Mönchengladbach,13289,176847.86,13.307838,0.001,5700.0,EinheitenSolar_45.json,35272,EinheitenWind.json,25755
Altenkirchen (Westerwald),13874,172643.117,12.443644,0.001,6974.1,EinheitenSolar_47.json,8664,EinheitenSolar_35.json,78406
Nürnberg,15720,172590.717,10.979053,0.001,6025.0,EinheitenSolar_46.json,49839,EinheitenBiomasse.json,8891
Hildburghausen,6381,172160.895,26.980237,0.001,8739.36,EinheitenSolar_41.json,51107,EinheitenSolar_1.json,53201
Ahrweiler,14373,169303.84,11.779297,0.001,6264.63,EinheitenSolar_43.json,80844,EinheitenSolar_34.json,88397
Essen,17189,165177.818,9.609507,0.001,4607.1,EinheitenSolar_41.json,70919,EinheitenSolar_54.json,48382
Ilm-Kreis,8088,164563.0,20.346563,0.001,7932.76,EinheitenSolar_41.json,33693,EinheitenSolar_49.json,44683
Berchtesgadener Land,10997,164494.512,14.958126,0.003,5000.0,EinheitenSolar_47.json,25829,EinheitenWasser.json,1538
Potsdam,4986,163431.695,32.778118,0.001,7999.76,EinheitenSolar_45.json,55810,EinheitenSolar_5.json,1495
Chemnitz,9618,160614.114,16.699326,0.001,12419.46,EinheitenSolar_27.json,80585,EinheitenSolar_37.json,65789
Main-Taunus-Kreis,15500,158779.879,10.243863,0.001,15000.0,EinheitenSolar_41.json,95873,EinheitenBiomasse.json,17583
Dresden,15953,154216.944,9.666956,0.001,7070.0,EinheitenSolar_47.json,90877,EinheitenBiomasse.json,5521
Frankfurt am Main,11999,151489.592,12.625185,0.001,12430.0,EinheitenSolar_41.json,42270,EinheitenBiomasse.json,8991
Holzminden,7600,145890.223,19.196082,0.001,3860.04,EinheitenSolar_41.json,78344,EinheitenSolar_26.json,18975
Freiburg im Breisgau,10529,144431.814,13.717524,0.001,5600.0,EinheitenSolar_45.json,5327,EinheitenWind.json,28614
Duisburg,14577,142175.876,9.753439,0.001,3000.12,EinheitenSolar_42.json,61214,EinheitenSolar_23.json,78532
Wilhelmshaven,3615,141669.366,39.189313,0.001,8929.8,EinheitenSolar_50.json,23821,EinheitenSolar_20.json,76238
Halle (Saale),6550,137471.554,20.988024,0.001,7498.08,EinheitenSolar_51.json,41185,EinheitenSolar_25.json,94857
Oldenburg (Oldb),12769,136252.423,10.670563,0.001,13897.43,EinheitenSolar_40.json,83634,EinheitenSolar_4.json,73112
Magdeburg,8667,136158.022,15.709937,0.001,8492.9,EinheitenSolar_53.json,6314,EinheitenSolar_9.json,24030
Ingolstadt,10548,134385.153,12.740344,0.001,6700.0,EinheitenSolar_41.json,25631,EinheitenWasser.json,4132
Hagen,6624,134001.725,20.229729,0.001,20000.0,EinheitenSolar_42.json,61575,EinheitenBiomasse.json,5514
Straubing,4340,128758.125,29.667771,0.007,9288.0,EinheitenStromSpeicher_19.json,6784,EinheitenSolar_37.json,9299
Braunschweig,12733,128560.281,10.096621,0.001,2000.0,EinheitenSolar_45.json,65590,EinheitenWind.json,23260
Brandenburg an der Havel,3386,127833.753,37.753619,0.001,18647.017,EinheitenSolar_51.json,65502,EinheitenSolar_14.json,14431
Krefeld,11398,126889.662,11.132625,0.001,2828.0,EinheitenStromSpeicher_1.json,18326,EinheitenSolar_49.json,53356
Lindau (Bodensee),10580,121332.87,11.468135,0.001,1275.84,EinheitenSolar_41.json,13395,EinheitenSolar_18.json,79824
Dessau-Roßlau,5085,120409.911,23.679432,0.001,7980.48,EinheitenSolar_54.json,55502,EinheitenSolar_13.json,15507
Bochum,11176,116187.237,10.396138,0.001,1365.0,EinheitenSolar_41.json,70905,EinheitenGeothermieGrubengasDruckentspannung.json,65
Wuppertal,10081,114391.062,11.347194,0.013,2000.0,EinheitenSolar_51.json,72915,EinheitenWind.json,19293
Flensburg,3407,113417.648,33.289594,0.001,4200.0,EinheitenSolar_48.json,8851,EinheitenWind.json,15831
